key,value,color,los,buffer,anchor,water,description
boundary,marker,#be185d,False,False,False,False,"A boundary marker, border marker, boundary stone, or border stone is a robust physical marker that identifies the start of a land boundary or the change in a boundary, especially a change in direction of a boundary. See alsohistoric=boundary_stone"
boundary,protected_area,#be185d,False,False,False,False,"Protected areas, such as for national parks, marine protection areas, heritage sites, wilderness, cultural assets and similar."
boundary,religious_administration,#be185d,True,True,False,False,"A religious administration boundary, eg. of a catholic diocese or parish. Usereligion=*anddenomination=*to specify the church to which the boundary applies. Some mappers usereligious_level=*instead ofadmin_level=*to specify level in the church hierarchy."
building,allotment_house,#d97706,False,False,False,False,A small outbuilding for short visits in a allotment garden.
building,apartments,#d97706,False,False,False,False,"A building arranged into individual dwellings, often on separate floors. May also have retail outlets on the ground floor."
building,bakehouse,#d97706,False,False,False,False,A building that was built as a bakehouse (i.e. for baking bread). Often used in conjunction with another nodeamenity=baking_ovenandoven=wood_fired.
building,barn,#d97706,False,False,False,False,An agricultural building that can be used for storage and as a covered workplace.
building,beach_hut,#d97706,False,False,False,False,"A small, usually wooden, and often brightly coloured cabin or shelter above the high tide mark on popular bathing beaches."
building,carport,#d97706,False,False,False,False,"Acarportis a covered structure used to offer limited protection to vehicles, primarily cars, from the elements. Unlike most structures a carport does not have four walls, and usually has one or two."
building,commercial,#d97706,False,False,False,False,"A building for non-specific commercial activities, not necessarily an office building. Consider tagging the surrounding area usinglanduse=commercialif there is such use. Use 'retail' if the building consists primarily of shops."
building,digester,#d97706,False,False,False,False,A digester is a bioreactor for the production of biogas from biomass.
building,grandstand,#d97706,False,False,False,False,"The main stand, usually roofed, commanding the best view for spectators at racecourses or sports grounds."
building,religious,#d97706,False,False,False,False,Unspecific building related to religion. Prefer more specific values if possible.
building,annexe,#d97706,False,False,False,False,"An annexe is a small self contained apartments, collages, or small residential building on the same property as the main residential unit."
building,barracks,#d97706,False,False,False,False,Buildings built to house military personnel or laborers.
building,boathouse,#d97706,False,False,False,False,A boathouse is a building used for the storage of boats.
building,bridge,#d97706,False,False,False,False,A building used as a bridge (skyway). To map a gatehouse usebuilding=gatehouse. See alsobridge=yesforhighway=*.Don't use this tag just for marking bridges (their outlines). For such purposes useman_made=bridge.
building,bungalow,#d97706,False,False,False,False,"A single-storey detached small house, Dacha."
building,bunker,#d97706,False,False,False,False,A hardened military building. Also usemilitary=bunker.
building,cabin,#d97706,False,False,False,False,"Acabinis a small, roughly built house usually with a wood exterior and typically found in rural areas."
building,castle,#d97706,False,False,False,False,A building constructed as a castle. Can be further specified withhistoric=castle+castle_type=*.
building,cathedral,#d97706,False,False,False,False,"A building that was built as a cathedral. Used in conjunction withamenity=place_of_worship,religion=*,denomination=*andlanduse=religiousfor the cathedral grounds where it is in current use."
building,chapel,#d97706,False,False,False,False,"A building that was built as a chapel. Used in conjunction withamenity=place_of_worship,religion=*,denomination=*andlanduse=religiousfor the chapel grounds where it is in current use."
building,church,#d97706,False,False,False,False,"A building that was built as a church. Used in conjunction withamenity=place_of_worship,religion=*,denomination=*andlanduse=religiousfor the church grounds where it is in current use."
building,civic,#d97706,False,False,False,False,"A generic tag for a building created to house some civic amenity, for exampleamenity=community_centre,amenity=library,amenity=toilets,leisure=sports_centre,leisure=swimming_pool,amenity=townhalletc. Useamenity=*orleisure=*etc. to provide further details. Seebuilding=publicand more specific tags likebuilding=libraryas well."
building,clock_tower,#d97706,False,False,False,False,"Clock towers are very high towers, visible from its surroundings, usually in central parts of town and squares, housing a turret clock with one or more clock faces, most often four. They are freestanding structures but can also be adjoined or located on top of another building."
building,college,#d97706,False,False,False,False,A college building. Useamenity=collegeon the whole college area to represent the college as an institution.
building,conservatory,#d97706,False,False,False,False,A building or room having glass or tarpaulin roofing and walls used as an indoor garden or a sunroom (winter garden).
building,construction,#d97706,False,False,False,False,Used for buildings under construction. Useconstruction=*to hold the value for the completed building.
building,container,#d97706,False,False,False,False,"For a container used as a permanent building.Do not map containers placed temporarily, for example used in shipping or construction."
building,cowshed,#d97706,False,False,False,False,"A cowshed (cow barn, cow house) is a building for housing cows, usually found on farms."
building,detached,#d97706,False,False,False,False,"A detached house, a free-standing residential building usually housing a single family."
building,dormitory,#d97706,False,False,False,False,"A shared building intended for college/university students (not a share room for multiple occupants as implied by the term in British English). Alternatively, use building=residential plusresidential=universityand loose the information that it is for students."
building,farm,#d97706,False,False,False,False,"A residential building on a farm (farmhouse). For other buildings see belowbuilding=farm_auxiliary,building=barn, … If in your country farmhouse looks same as general residential house then you can tag asbuilding=houseas well. See alsolanduse=farmyardfor the surrounding area"
building,farm_auxiliary,#d97706,False,False,False,False,A building on a farm that is not a dwelling (use 'farm' or 'house' for the farm house).
